para	season	species
58.86	Spring	Littorina brevicula
51.73	Spring	Littorina brevicula
54.99	Spring	Littorina brevicula
39.84	Spring	Littorina brevicula
65.05	Spring	Littorina brevicula
67.46	Spring	Littorina brevicula
60.38	Spring	Littorina brevicula
54.42	Spring	Littorina brevicula
47.71	Spring	Littorina brevicula
66.87	Spring	Littorina brevicula
51.02	Spring	Littorina brevicula
43.95	Spring	Littorina brevicula
62.4	Spring	Littorina brevicula
55.67	Spring	Littorina brevicula
58.45	Spring	Littorina brevicula
43.52	Spring	Littorina brevicula
69.29	Spring	Littorina brevicula
71.22	Spring	Littorina brevicula
64.6	Spring	Littorina brevicula
58.53	Spring	Littorina brevicula
51.15	Spring	Littorina brevicula
70.62	Spring	Littorina brevicula
55.1	Spring	Littorina brevicula
47	Spring	Littorina brevicula
54.48	Spring	Littorina brevicula
43.52	Spring	Littorina littorea
63.26	Spring	Littorina littorea
58.76	Spring	Littorina littorea
61.38	Spring	Littorina littorea
63.7	Spring	Littorina littorea
45.69	Spring	Littorina littorea
45.2	Spring	Littorina littorea
77.23	Spring	Littorina littorea
57.12	Spring	Littorina littorea
49.32	Spring	Littorina littorea
72.92	Spring	Littorina littorea
47.95	Spring	Littorina littorea
78.7	Spring	Littorina littorea
77.01	Spring	Littorina littorea
71.7	Spring	Littorina littorea
69.36	Spring	Littorina littorea
66.46	Spring	Littorina littorea
76.35	Spring	Littorina littorea
75.55	Spring	Littorina littorea
54.59	Spring	Littorina littorea
62.02	Spring	Littorina littorea
58.5	Spring	Littorina littorea
76.09	Spring	Littorina littorea
68.85	Spring	Littorina littorea
84.55	Spring	Littorina littorea
61.6	Summer	Littorina brevicula
70.84	Summer	Littorina brevicula
68.89	Summer	Littorina brevicula
67.68	Summer	Littorina brevicula
88.68	Summer	Littorina brevicula
64.64	Summer	Littorina brevicula
69.71	Summer	Littorina brevicula
70.65	Summer	Littorina brevicula
56.85	Summer	Littorina brevicula
80.06	Summer	Littorina brevicula
80.93	Summer	Littorina brevicula
53.62	Summer	Littorina brevicula
56.77	Summer	Littorina brevicula
101.81	Summer	Littorina brevicula
81.65	Summer	Littorina brevicula
88.73	Summer	Littorina brevicula
67.5	Summer	Littorina brevicula
73.75	Summer	Littorina brevicula
75.8	Summer	Littorina brevicula
74.7	Summer	Littorina brevicula
68.26	Summer	Littorina brevicula
89.29	Summer	Littorina brevicula
75.09	Summer	Littorina brevicula
74.99	Summer	Littorina brevicula
76.03	Summer	Littorina brevicula
66.67	Summer	Littorina littorea
61.31	Summer	Littorina littorea
51	Summer	Littorina littorea
67.43	Summer	Littorina littorea
78.12	Summer	Littorina littorea
79.26	Summer	Littorina littorea
69.03	Summer	Littorina littorea
76.14	Summer	Littorina littorea
86.81	Summer	Littorina littorea
97.56	Summer	Littorina littorea
64.64	Summer	Littorina littorea
68.64	Summer	Littorina littorea
65.95	Summer	Littorina littorea
49.5	Summer	Littorina littorea
62.22	Summer	Littorina littorea
57.34	Summer	Littorina littorea
70.3	Summer	Littorina littorea
62.75	Summer	Littorina littorea
80.48	Summer	Littorina littorea
81.74	Summer	Littorina littorea
85.83	Summer	Littorina littorea
77.51	Summer	Littorina littorea
61.12	Summer	Littorina littorea
59.83	Summer	Littorina littorea
66.52	Summer	Littorina littorea
